experiment,parameter,value,run_index,duration_s,bytes_sent,segments_sent,rtt_ms
sr_window_sweep,N,1,1,35.381,1024000,2048,15.324
sr_window_sweep,N,1,2,36.332,1024000,2048,11.003
sr_window_sweep,N,1,3,32.251,1024000,2048,31.327
sr_window_sweep,N,1,4,35.037,1024000,2048,11.614
sr_window_sweep,N,1,5,33.474,1024000,2048,13.004
sr_window_sweep,N,2,1,30.628,1024000,2048,13.032
sr_window_sweep,N,2,2,26.849,1024000,2048,13.791
sr_window_sweep,N,2,3,25.531,1024000,2048,10.008
sr_window_sweep,N,2,4,25.509,1024000,2048,6.898
sr_window_sweep,N,2,5,27.806,1024000,2048,8.584
sr_window_sweep,N,4,1,19.2,1024000,2048,7.479
sr_window_sweep,N,4,2,24.795,1024000,2048,12.974
sr_window_sweep,N,4,3,23.273,1024000,2048,7.857
sr_window_sweep,N,4,4,23.424,1024000,2048,7.837
sr_window_sweep,N,4,5,23.844,1024000,2048,30.812
sr_window_sweep,N,8,1,17.748,1024000,2048,59.44
sr_window_sweep,N,8,2,20.863,1024000,2048,7.537
sr_window_sweep,N,8,3,20.797,1024000,2048,16.082
sr_window_sweep,N,8,4,17.812,1024000,2048,19.939
sr_window_sweep,N,8,5,17.825,1024000,2048,7.247
sr_window_sweep,N,16,1,15.057,1024000,2048,26.642
sr_window_sweep,N,16,2,13.123,1024000,2048,7.73
sr_window_sweep,N,16,3,14.629,1024000,2048,7.074
sr_window_sweep,N,16,4,14.362,1024000,2048,21.51
sr_window_sweep,N,16,5,15.204,1024000,2048,22.521
sr_window_sweep,N,32,1,9.611,1024000,2048,9.799
sr_window_sweep,N,32,2,10.122,1024000,2048,8.072
sr_window_sweep,N,32,3,9.804,1024000,2048,6.679
sr_window_sweep,N,32,4,9.212,1024000,2048,26.243
sr_window_sweep,N,32,5,9.759,1024000,2048,12.636
sr_window_sweep,N,64,1,5.962,1024000,2048,36.224
sr_window_sweep,N,64,2,6.078,1024000,2048,6.523
sr_window_sweep,N,64,3,5.874,1024000,2048,9.575
sr_window_sweep,N,64,4,6.087,1024000,2048,11.519
sr_window_sweep,N,64,5,6.318,1024000,2048,6.011
sr_window_sweep,N,128,1,4.133,1024000,2048,22.172
sr_window_sweep,N,128,2,3.578,1024000,2048,6.92
sr_window_sweep,N,128,3,4.084,1024000,2048,7.846
sr_window_sweep,N,128,4,4.819,1024000,2048,6.201
sr_window_sweep,N,128,5,4.183,1024000,2048,24.958
sr_window_sweep,N,256,1,3.875,1024000,2048,8.077
sr_window_sweep,N,256,2,3.297,1024000,2048,22.271
sr_window_sweep,N,256,3,3.232,1024000,2048,95.68
sr_window_sweep,N,256,4,3.098,1024000,2048,10.235
sr_window_sweep,N,256,5,3.75,1024000,2048,6.864
sr_window_sweep,N,512,1,2.732,1024000,2048,7.86
sr_window_sweep,N,512,2,2.948,1024000,2048,7.203
sr_window_sweep,N,512,3,3.008,1024000,2048,38.991
sr_window_sweep,N,512,4,3.049,1024000,2048,13.128
sr_window_sweep,N,512,5,2.957,1024000,2048,6.283
sr_window_sweep,N,1024,1,2.769,1024000,2048,31.909
sr_window_sweep,N,1024,2,2.597,1024000,2048,23.16
sr_window_sweep,N,1024,3,2.814,1024000,2048,6.6
sr_window_sweep,N,1024,4,2.568,1024000,2048,8.83
sr_window_sweep,N,1024,5,2.571,1024000,2048,10.34
sr_mss_sweep,MSS,100,1,28.96,1024000,10240,20.594
sr_mss_sweep,MSS,100,2,30.617,1024000,10240,7.606
sr_mss_sweep,MSS,100,3,31.782,1024000,10240,55.453
sr_mss_sweep,MSS,100,4,32.55,1024000,10240,9.389
sr_mss_sweep,MSS,100,5,31.297,1024000,10240,21.48
sr_mss_sweep,MSS,200,1,15.244,1024000,5120,19.883
sr_mss_sweep,MSS,200,2,15.474,1024000,5120,6.904
sr_mss_sweep,MSS,200,3,15.263,1024000,5120,6.561
sr_mss_sweep,MSS,200,4,15.028,1024000,5120,1774.876
sr_mss_sweep,MSS,200,5,16.105,1024000,5120,12.692
sr_mss_sweep,MSS,300,1,11.86,1024000,3414,155.602
sr_mss_sweep,MSS,300,2,10.686,1024000,3414,15.46
sr_mss_sweep,MSS,300,3,10.173,1024000,3414,17.301
sr_mss_sweep,MSS,300,4,9.872,1024000,3414,14.016
sr_mss_sweep,MSS,300,5,10.203,1024000,3414,15.551
sr_mss_sweep,MSS,400,1,8.182,1024000,2560,76.572
sr_mss_sweep,MSS,400,2,7.85,1024000,2560,12.988
sr_mss_sweep,MSS,400,3,8.206,1024000,2560,14.177
sr_mss_sweep,MSS,400,4,8.313,1024000,2560,8.633
sr_mss_sweep,MSS,400,5,7.224,1024000,2560,14.901
sr_mss_sweep,MSS,500,1,6.118,1024000,2048,13.493
sr_mss_sweep,MSS,500,2,6.505,1024000,2048,8.209
sr_mss_sweep,MSS,500,3,6.09,1024000,2048,13.555
sr_mss_sweep,MSS,500,4,5.889,1024000,2048,11.166
sr_mss_sweep,MSS,500,5,6.251,1024000,2048,14.106
sr_mss_sweep,MSS,600,1,5.137,1024000,1707,13.89
sr_mss_sweep,MSS,600,2,5.906,1024000,1707,13.733
sr_mss_sweep,MSS,600,3,5.324,1024000,1707,61.666
sr_mss_sweep,MSS,600,4,4.806,1024000,1707,7.497
sr_mss_sweep,MSS,600,5,5.014,1024000,1707,14.336
sr_mss_sweep,MSS,700,1,5.561,1024000,1463,7.485
sr_mss_sweep,MSS,700,2,4.091,1024000,1463,13.645
sr_mss_sweep,MSS,700,3,4.552,1024000,1463,7.375
sr_mss_sweep,MSS,700,4,4.343,1024000,1463,22.449
sr_mss_sweep,MSS,700,5,4.48,1024000,1463,12.894
sr_mss_sweep,MSS,800,1,3.845,1024000,1280,22.992
sr_mss_sweep,MSS,800,2,3.885,1024000,1280,7.645
sr_mss_sweep,MSS,800,3,4.928,1024000,1280,6.736
sr_mss_sweep,MSS,800,4,3.92,1024000,1280,8.032
sr_mss_sweep,MSS,800,5,3.464,1024000,1280,15.454
sr_mss_sweep,MSS,900,1,3.902,1024000,1138,6.946
sr_mss_sweep,MSS,900,2,4.492,1024000,1138,8.04
sr_mss_sweep,MSS,900,3,3.431,1024000,1138,15.883
sr_mss_sweep,MSS,900,4,3.033,1024000,1138,12.714
sr_mss_sweep,MSS,900,5,3.245,1024000,1138,7.752
sr_mss_sweep,MSS,1000,1,3.803,1024000,1024,10.004
sr_mss_sweep,MSS,1000,2,4.244,1024000,1024,15.984
sr_mss_sweep,MSS,1000,3,3.19,1024000,1024,10.76
sr_mss_sweep,MSS,1000,4,3.854,1024000,1024,7.46
sr_mss_sweep,MSS,1000,5,3.408,1024000,1024,91.461
sr_loss_sweep,p,0.01,1,2.946,1024000,2048,8.334
sr_loss_sweep,p,0.01,2,2.764,1024000,2048,15.117
sr_loss_sweep,p,0.01,3,2.957,1024000,2048,18.407
sr_loss_sweep,p,0.01,4,3.021,1024000,2048,9.81
sr_loss_sweep,p,0.01,5,2.54,1024000,2048,11.697
sr_loss_sweep,p,0.02,1,4.34,1024000,2048,16.498
sr_loss_sweep,p,0.02,2,4.109,1024000,2048,12.297
sr_loss_sweep,p,0.02,3,4.976,1024000,2048,13.606
sr_loss_sweep,p,0.02,4,5.358,1024000,2048,9.2
sr_loss_sweep,p,0.02,5,4.027,1024000,2048,8.158
sr_loss_sweep,p,0.03,1,5.235,1024000,2048,9.048
sr_loss_sweep,p,0.03,2,4.916,1024000,2048,15.183
sr_loss_sweep,p,0.03,3,5.067,1024000,2048,14.57
sr_loss_sweep,p,0.03,4,5.226,1024000,2048,7.385
sr_loss_sweep,p,0.03,5,4.899,1024000,2048,12.283
sr_loss_sweep,p,0.04,1,5.2,1024000,2048,16.798
sr_loss_sweep,p,0.04,2,5.826,1024000,2048,15.741
sr_loss_sweep,p,0.04,3,5.925,1024000,2048,13.654
sr_loss_sweep,p,0.04,4,6.374,1024000,2048,20.178
sr_loss_sweep,p,0.04,5,6.129,1024000,2048,13.872
sr_loss_sweep,p,0.05,1,6.402,1024000,2048,7.308
sr_loss_sweep,p,0.05,2,6.329,1024000,2048,7.809
sr_loss_sweep,p,0.05,3,6.866,1024000,2048,6.44
sr_loss_sweep,p,0.05,4,6.734,1024000,2048,8.734
sr_loss_sweep,p,0.05,5,5.947,1024000,2048,12.739
sr_loss_sweep,p,0.06,1,6.837,1024000,2048,13.255
sr_loss_sweep,p,0.06,2,6.74,1024000,2048,9.755
sr_loss_sweep,p,0.06,3,7.206,1024000,2048,12.581
sr_loss_sweep,p,0.06,4,6.625,1024000,2048,6.942
sr_loss_sweep,p,0.06,5,6.962,1024000,2048,12.902
sr_loss_sweep,p,0.07,1,7.299,1024000,2048,9.452
sr_loss_sweep,p,0.07,2,7.743,1024000,2048,12.407
sr_loss_sweep,p,0.07,3,8.076,1024000,2048,10.577
sr_loss_sweep,p,0.07,4,8.627,1024000,2048,13.898
sr_loss_sweep,p,0.07,5,6.885,1024000,2048,8.207
sr_loss_sweep,p,0.08,1,7.702,1024000,2048,14.286
sr_loss_sweep,p,0.08,2,7.962,1024000,2048,7.895
sr_loss_sweep,p,0.08,3,7.099,1024000,2048,13.287
sr_loss_sweep,p,0.08,4,7.52,1024000,2048,12.988
sr_loss_sweep,p,0.08,5,8.193,1024000,2048,6.997
sr_loss_sweep,p,0.09,1,8.254,1024000,2048,13.815
sr_loss_sweep,p,0.09,2,7.554,1024000,2048,12.868
sr_loss_sweep,p,0.09,3,7.917,1024000,2048,11.748
sr_loss_sweep,p,0.09,4,8.757,1024000,2048,11.487
sr_loss_sweep,p,0.09,5,8.864,1024000,2048,12.621
sr_loss_sweep,p,0.1,1,8.582,1024000,2048,13.518
sr_loss_sweep,p,0.1,2,7.869,1024000,2048,9.987
sr_loss_sweep,p,0.1,3,9.329,1024000,2048,14.35
sr_loss_sweep,p,0.1,4,7.838,1024000,2048,24.428
sr_loss_sweep,p,0.1,5,8.582,1024000,2048,8.383
